index,Value,xgb_dart_x,xgb_dart_y,xgb_dart_x,xgb_dart_y,xgb_dart_x,xgb_dart_y,xgb_dart_x,xgb_dart_y,xgb_dart_x,xgb_dart_y,xgb_dart
0,2.814025348,2.75528097153,2.76545858383,2.72814178467,2.7485537529,2.92177605629,2.7620985508,2.80558180809,2.73106312752,2.71671390533,2.81675004959,2.75656652451
1,2.782954705,2.77570509911,2.7713932991,2.74037265778,2.81301474571,2.82572865486,2.75020170212,2.77361321449,2.75786995888,2.84384655952,2.90202140808,2.76708555222
2,2.72597336,2.7400534153,2.82639241219,2.75804853439,2.72254419327,2.87499403954,2.77763080597,2.88043045998,2.65727519989,2.87998986244,2.93452882767,2.81225848198
3,2.794768371,2.82956147194,2.8550825119,2.72675657272,2.76145076752,2.69112658501,2.7757692337,2.81906318665,2.77169966698,2.87203335762,2.91623997688,2.76229023933
4,2.787539201,2.7925825119,2.6991815567,2.81564688683,2.68768048286,2.75593042374,2.58175158501,2.72616887093,2.79598093033,2.8069319725,2.77173376083,2.67403316498
5,2.569175163,2.79877352715,2.81554698944,2.77360010147,2.77234148979,2.91160416603,2.78093552589,2.82896375656,2.78618097305,2.73960280418,2.81945228577,2.82779240608
6,2.965823723,2.89594340324,2.96049380302,2.92481565475,2.96771550179,2.94131231308,2.97215461731,2.93917679787,2.96508145332,2.9635989666,2.9426472187,2.99955010414
7,2.965823723,3.06330752373,2.9599981308,2.95098543167,2.96686315536,2.95877552032,2.9691119194,2.96238803864,2.97548818588,2.97189927101,2.94736123085,3.01522946358
8,2.773920951,2.88109636307,2.84516239166,2.95632815361,2.78602933884,2.79539489746,2.85067272186,2.81331300735,2.83655810356,2.84257817268,2.77076840401,2.90077519417
9,2.773920951,3.0072517395,2.81593418121,2.97052717209,2.79102492332,2.77727484703,2.85834980011,2.8142054081,2.84818911552,2.83980751038,2.77438473701,2.92310667038
10,3.197219462,2.98628664017,3.11750507355,2.92208003998,3.17015361786,3.04644680023,3.08004379272,3.09632349014,3.08465909958,3.15537643433,3.10819554329,3.07055044174
11,3.197219462,2.90607309341,3.10887050629,2.92481565475,3.18392062187,3.0546939373,3.0911655426,3.08622312546,3.04617977142,3.16355705261,3.10757684708,3.08578157425
12,3.112323341,2.97216677666,3.12035489082,2.95543789864,3.10509562492,3.08452749252,3.08817768097,3.08814334869,3.05719614029,3.05293440819,3.08735370636,3.10169529915
13,3.112323341,2.97953295708,3.11264514923,2.95742583275,3.11139345169,3.0838265419,3.08874225616,3.06952810287,3.03137087822,3.03097200394,3.09159326553,3.10907125473
14,2.756221803,2.79525470734,2.956397295,2.80750966072,2.88671445847,2.80417752266,2.79885578156,2.77516841888,2.71684932709,2.80062103271,2.91371202469,2.8627538681
15,3.122650814,2.89319992065,2.80839037895,2.75277137756,2.93838095665,2.84545993805,2.86415934563,2.83036613464,2.87257528305,2.973072052,2.88666892052,2.85941934586
