index,Value,xgb_dart,GBDT,Ridge,Random Forest,Lasso
0,2.814025348484583,2.6748361587524414,2.6865490583649665,2.790008544921875,2.7730743213520297,2.76037807012325
1,2.78295470454625,2.8274450302124023,2.8067396513462524,2.8112335205078125,2.8714457908971247,2.8137614586067263
2,2.7259733598475004,2.7562081813812256,2.7051983990832107,2.792755126953125,2.7581164288034334,3.0056197687044754
3,2.7947683712120837,2.759589195251465,2.8298534622948113,2.819244384765625,2.8062317965919115,2.8559195713549643
4,2.787539200757083,2.6910688877105713,2.79851707189116,2.78900146484375,2.640916416611772,2.805289552215073
5,2.5691751628791666,2.7141640186309814,2.702469777855149,2.77734375,2.6902768444424323,2.717058843697114
6,2.9658237234845823,2.9047858715057373,2.8623965968622813,2.8412628173828125,2.8088052481059407,2.9806981893182716
7,2.9658237234845823,2.958035469055176,2.927715706638443,2.87237548828125,2.868523922453467,3.07978227576287
8,2.7739209507579163,2.7435529232025146,2.7718841287751217,2.837432861328125,2.7582298737371667,2.817198593938586
9,2.7739209507579163,2.8013834953308105,2.7680312343004916,2.84893798828125,2.779052659903995,2.847310362885811
10,3.19721946212125,3.1626763343811035,3.186709947254972,2.86737060546875,3.1444714228809305,2.951051597107331
11,3.19721946212125,3.1815712451934814,3.1925466794283133,2.8628997802734375,3.186563443469917,3.009381983752965
12,3.112323340909583,3.071099281311035,3.089557508360389,2.861114501953125,3.0762446751265973,2.9080885550917013
13,3.112323340909583,3.08701753616333,3.059074324935994,2.834197998046875,3.098352688268163,2.9208307405505547
14,2.756221803030417,2.7873051166534424,2.7582538232096288,2.82244873046875,2.7503648833332557,2.7952352211251283
15,3.1226508143933334,3.0163474082946777,3.0538826810178032,2.830963134765625,2.994425888914208,2.889925311253289
16,2.9521636515150003,2.881474256515503,2.8435772794085,2.7783050537109375,2.908620867771899,2.8368534548476965
17,3.0680799873733338,2.8228342533111572,2.9063964293400524,2.780242919921875,2.8342971365628333,2.9328573261226767
18,2.652616911615555,2.719989776611328,2.6799463086099253,2.793914794921875,2.714015509265515,2.8446109509321866
19,2.954648253787917,2.910076141357422,2.8202609650300983,2.80615234375,2.842222131386187,2.954493897530034
20,2.739788863636666,2.720853805541992,2.7083834152890893,2.8033447265625,2.7036947190460663,2.784452185866504
21,2.908289215909583,2.8672518730163574,2.7692525603671196,2.8170013427734375,2.7925577661981253,2.878486361299907
22,2.911308340909167,2.8323874473571777,2.8612180779591996,2.806793212890625,2.797791374359556,2.8505921223299833
23,2.7779792196966677,2.744237184524536,2.7247212905499585,2.791107177734375,2.6924266160820167,2.8754218164175414
24,2.5617208522729173,2.7111382484436035,2.7159216196513194,2.75927734375,2.7296496222259337,2.6754157393326246
25,2.7517345643929176,2.7544195652008057,2.733673764457355,2.768463134765625,2.7211828076611075,2.8022408112763286
26,3.0183430984837494,2.9285192489624023,3.0325944238348606,2.7748565673828125,2.892383557418903,2.915437013895466
27,2.6919653901504166,2.7033708095550537,2.7891366669329765,2.769866943359375,2.7163268438213164,2.851763398602745
28,2.7220047992416667,2.71541428565979,2.7403721517439936,2.780731201171875,2.732300937056464,2.8606571727661905
29,2.7690984053041667,2.7780039310455322,2.8037326956951145,2.79541015625,2.7274549837669184,2.81983154782695
30,2.6494786287883336,2.738646984100342,2.7021807317624935,2.796295166015625,2.7730724984706248,2.7581725495593328
31,2.9623063106049994,2.9870896339416504,3.0928103501566397,2.8037872314453125,2.9734912622016423,2.791986827187963
32,2.732028564394167,2.745283842086792,2.72679037685861,2.806182861328125,2.669796579028687,2.660101954900781
33,2.9472456704550005,2.9067585468292236,2.864818469809733,2.867919921875,2.84748092522133,2.8322939309396933
34,2.9472456704550005,2.975393295288086,2.93102033187585,2.85040283203125,2.86331834740525,2.864003030758254
