index,Value,xgb_dart_x,xgb_dart_y,xgb_dart_x,xgb_dart_y,xgb_dart_x,xgb_dart_y,xgb_dart_x,xgb_dart_y,xgb_dart_x,xgb_dart_y
0,2.814025348,2.77130460739,2.72707343102,2.71596264839,2.73743963242,2.41498565674,2.70744085312,2.7073841095,2.70729756355,2.69673347473,2.67892861366
1,2.782954705,2.81114840508,2.77004384995,2.80150604248,2.79626226425,2.50512909889,2.81080627441,2.79619622231,2.80633854866,2.80515909195,2.80446791649
2,2.72597336,2.75453734398,2.71283936501,2.72245264053,2.71723675728,2.43211388588,2.74003982544,2.70438909531,2.71506309509,2.73522305489,2.73634767532
3,2.794768371,2.81066632271,2.76899552345,2.76271319389,2.72072029114,2.43305015564,2.74331736565,2.76110625267,2.76952528954,2.77969241142,2.76839137077
4,2.787539201,2.71411561966,2.75669836998,2.70515847206,2.74638724327,2.39481210709,2.70351171494,2.70416522026,2.70209479332,2.67272877693,2.68486213684
5,2.569175163,2.80185341835,2.82036781311,2.73829889297,2.72490787506,2.43437433243,2.73103785515,2.73793649673,2.69754099846,2.73885321617,2.69659852982
6,2.965823723,2.91048026085,2.91624283791,2.8991663456,2.90353155136,2.59002566338,2.90770888329,2.91068196297,2.9182870388,2.9099445343,2.91373157501
7,2.965823723,2.97518563271,2.96788477898,2.96425700188,2.97217512131,2.65402245522,2.98421216011,2.97820448875,2.98821640015,2.98712325096,2.97347974777
8,2.773920951,2.85011267662,2.87017202377,2.77240467072,2.75468969345,2.44846177101,2.73936295509,2.7558889389,2.74005055428,2.74557304382,2.74826979637
9,2.773920951,2.95505642891,2.97464418411,2.81429171562,2.77953839302,2.48540091515,2.79381155968,2.80556583405,2.79040384293,2.80377936363,2.80043125153
10,3.197219462,3.0520632267,3.02516508102,3.14877963066,3.15333843231,2.80211544037,3.16275811195,3.16099452972,3.17465543747,3.17172455788,3.17169737816
11,3.197219462,2.97279548645,2.98690891266,3.15352797508,3.14595603943,2.79768705368,3.1741399765,3.17987251282,3.1937224865,3.17968010902,3.18689250946
