index,Value,Random Forest,xgb_dart,Ridge,Lasso,GBDT
0,2.814025348484583,2.7730743213520297,2.6748361587524414,2.68994140625,2.776995392301389,2.6865490583649665
1,2.78295470454625,2.8714457908971247,2.8274450302124023,2.9130859375,2.8599233802285644,2.8067396513462524
2,2.7259733598475004,2.7581164288034334,2.7562081813812256,2.7509765625,2.9941520919491076,2.7051983990832107
3,2.7947683712120837,2.8062317965919115,2.759589195251465,2.8056640625,2.899866230661904,2.8298534622948113
4,2.787539200757083,2.640916416611772,2.6910688877105713,2.8148193359375,2.8434445814971765,2.79851707189116
5,2.5691751628791666,2.6902768444424323,2.7141640186309814,2.76904296875,2.7915956865923106,2.702469777855149
6,2.9658237234845823,2.8088052481059407,2.9047858715057373,2.912109375,2.9024429709829986,2.8623965968622813
7,2.9658237234845823,2.868523922453467,2.958035469055176,2.912109375,2.9970067854332467,2.927715706638443
8,2.7739209507579163,2.7582298737371667,2.7435529232025146,2.8955078125,2.7772272413967825,2.7718841287751217
9,2.7739209507579163,2.779052659903995,2.8013834953308105,2.8734130859375,2.7886418311350076,2.7680312343004916
10,3.19721946212125,3.1444714228809305,3.1626763343811035,3.01220703125,2.795739820644674,3.186709947254972
11,3.19721946212125,3.186563443469917,3.1815712451934814,3.0390625,2.8454319339355374,3.1925466794283133
12,3.112323340909583,3.0762446751265973,3.071099281311035,2.9169921875,2.804830930443464,3.089557508360389
13,3.112323340909583,3.098352688268163,3.08701753616333,2.97021484375,2.855273283239575,3.059074324935994
14,2.756221803030417,2.7503648833332557,2.7873051166534424,2.8529052734375,2.8547844401110694,2.7582538232096288
15,3.1226508143933334,2.994425888914208,3.0163474082946777,2.87353515625,2.926002202653849,3.0538826810178032
16,2.9521636515150003,2.908620867771899,2.881474256515503,2.75390625,2.8390221453934457,2.8435772794085
17,3.0680799873733338,2.8342971365628333,2.8228342533111572,2.7158203125,2.984174842023339,2.9063964293400524
18,2.652616911615555,2.714015509265515,2.719989776611328,2.7392578125,2.7969609540937417,2.6799463086099253
19,2.954648253787917,2.842222131386187,2.910076141357422,2.8865966796875,2.9948716421874266,2.8202609650300983
20,2.739788863636666,2.7036947190460663,2.720853805541992,2.80810546875,2.802721821585048,2.7083834152890893
21,2.908289215909583,2.7925577661981253,2.8672518730163574,2.9873046875,2.9130283446071243,2.7692525603671196
22,2.911308340909167,2.797791374359556,2.8323874473571777,2.8271484375,2.836808976293015,2.8612180779591996
23,2.7779792196966677,2.6924266160820167,2.744237184524536,2.794921875,2.887162120573989,2.7247212905499585
24,2.5617208522729173,2.7296496222259337,2.7111382484436035,2.7083740234375,2.720881508985776,2.7159216196513194
25,2.7517345643929176,2.7211828076611075,2.7544195652008057,2.67724609375,2.779162381802623,2.733673764457355
26,3.0183430984837494,2.892383557418903,2.9285192489624023,2.7177734375,2.8828144888271643,3.0325944238348606
27,2.6919653901504166,2.7163268438213164,2.7033708095550537,2.72265625,2.8913945166286203,2.7891366669329765
28,2.7220047992416667,2.732300937056464,2.71541428565979,2.74658203125,2.866906697562327,2.7403721517439936
29,2.7690984053041667,2.7274549837669184,2.7780039310455322,2.7840576171875,2.763101619340496,2.8037326956951145
30,2.6494786287883336,2.7730724984706248,2.738646984100342,2.72509765625,2.7868714964876857,2.7021807317624935
31,2.9623063106049994,2.9734912622016423,2.9870896339416504,2.78515625,2.8455259700254,3.0928103501566397
32,2.732028564394167,2.669796579028687,2.745283842086792,2.8466796875,2.77481654210904,2.72679037685861
33,2.9472456704550005,2.84748092522133,2.9067585468292236,3.01806640625,2.8048921984751503,2.864818469809733
34,2.9472456704550005,2.86331834740525,2.975393295288086,2.9613037109375,2.797483081735953,2.93102033187585
35,2.8777555227262486,2.866570247456879,2.853242874145508,2.923828125,2.876491667973453,2.853469254185848
36,2.8777555227262486,2.8356464503137846,2.907790184020996,2.900390625,2.8757838462640337,2.8675189861299994
37,2.97545093181875,3.023696698232625,2.9797096252441406,2.7666015625,2.821399343207553,2.909932087525223
38,2.97545093181875,2.922204638889153,2.981567144393921,2.88427734375,2.881514505044551,2.947139827469324
39,2.7831303106066674,2.757900470298105,2.7860069274902344,2.7635498046875,2.844332642798489,2.742129861557573
40,2.7831303106066674,2.7949511124993895,2.845163345336914,2.76953125,2.905033757287382,2.8447844563852276
41,2.8341194166654167,2.789429500332614,2.7901406288146973,2.76171875,2.8094694576446138,2.8127255109212905
42,2.8341194166654167,2.8362457967165406,2.864750862121582,2.8642578125,2.865938676167771,2.8602095685047924
43,3.1338305606050003,3.1287553265144856,3.1146485805511475,2.92578125,2.8887273891033933,3.136747671252251
